number;date;year;session;plot;transect;block;cage;species;invasiveness;density;treatment;actual_treatment;failed_exc;survival_detailed;survival;viability;damage;weevil;root_lenght;shoot_lenght;notes
449;30/06/2022;2022;s1_22;wild;w1;G2;w1G2SOcontrol;SO;native;2;control;control;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
450;30/06/2022;2022;s1_22;wild;w1;G2;w1G2SOcontrol;SO;native;2;control;control;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
451;30/06/2022;2022;s1_22;wild;w1;G2;w1G2ROexclusion;RO;invasive;2;exclusion;exclusion;ok;ger_root;germinated;viable;mold;NA;0,3;NA;rot root
452;30/06/2022;2022;s1_22;wild;w1;G2;w1G2ROexclusion;RO;invasive;2;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
453;30/06/2022;2022;s1_22;wild;w1;G2;w1G2ROcontrol;RO;invasive;2;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
454;30/06/2022;2022;s1_22;wild;w1;G2;w1G2ROcontrol;RO;invasive;2;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
455;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOexclusion;SO;native;9;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA; # am
456;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOexclusion;SO;native;9;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA; # am
457;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOexclusion;SO;native;9;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA; # am
458;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOexclusion;SO;native;9;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA; # am
459;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOexclusion;SO;native;9;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA; # am
460;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOexclusion;SO;native;9;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA; # am
461;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOexclusion;SO;native;9;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA; # am
462;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOexclusion;SO;native;9;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA; # am
463;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOexclusion;SO;native;9;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA; # am
464;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;ger_root;germinated;viable;insect;inside_alive;0,1;NA;black root
465;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;alive larva inside
466;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;2 alive larva inside
467;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
468;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
469;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
470;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
471;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
472;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
473;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
474;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
475;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
476;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
477;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
478;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
479;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
480;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
481;30/06/2022;2022;s1_22;wild;w1;F9;w1F9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
482;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROcontrol;RO;invasive;9;control;control;ok;ger_root;germinated;viable;insect;inside_alive;0,3;NA;
483;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROcontrol;RO;invasive;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
484;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROcontrol;RO;invasive;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
485;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROcontrol;RO;invasive;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
486;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROcontrol;RO;invasive;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
487;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROcontrol;RO;invasive;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
488;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROcontrol;RO;invasive;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
489;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROcontrol;RO;invasive;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
490;30/06/2022;2022;s1_22;wild;w1;F9;w1F9ROcontrol;RO;invasive;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
491;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# but ALL MISSING
492;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
493;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
494;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
495;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
496;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
497;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
498;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
499;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
500;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
501;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
502;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
503;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
504;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
505;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
506;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
507;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOexclusion;SO;native;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;# am
508;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
509;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;ger_root;germinated;viable;mold;NA;NA;NA;black root
510;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
511;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
512;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;ger_root;germinated;viable;insect;escaped;NA;NA;no hole but visible gallery
513;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;escaped;NA;NA;no hole but visible gallery
514;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;ger_root;germinated;viable;mold;NA;NA;NA;rot root
515;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
516;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
517;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
518;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
519;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
520;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
521;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
522;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
523;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
524;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROexclusion;RO;invasive;17;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
525;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
526;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
527;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
528;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
529;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
530;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
531;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
532;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
533;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
534;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
535;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
536;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
537;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
538;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
539;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
540;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
541;30/06/2022;2022;s1_22;wild;w1;H17;w1H17SOcontrol;SO;native;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
542;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
543;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
544;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
545;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
546;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
547;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
548;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
549;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
550;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
551;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
552;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
553;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
554;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
555;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
556;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
557;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
558;30/06/2022;2022;s1_22;wild;w1;H17;w1H17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
559;30/06/2022;2022;s1_22;wild;w1;I4;w1I4SOexclusion;SO;native;4;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
560;30/06/2022;2022;s1_22;wild;w1;I4;w1I4SOexclusion;SO;native;4;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
561;30/06/2022;2022;s1_22;wild;w1;I4;w1I4SOexclusion;SO;native;4;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
562;30/06/2022;2022;s1_22;wild;w1;I4;w1I4SOexclusion;SO;native;4;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
563;30/06/2022;2022;s1_22;wild;w1;I4;w1I4ROexclusion;RO;invasive;4;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
564;30/06/2022;2022;s1_22;wild;w1;I4;w1I4ROexclusion;RO;invasive;4;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
565;30/06/2022;2022;s1_22;wild;w1;I4;w1I4ROexclusion;RO;invasive;4;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
566;30/06/2022;2022;s1_22;wild;w1;I4;w1I4ROexclusion;RO;invasive;4;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
567;30/06/2022;2022;s1_22;wild;w1;I4;w1I4SOcontrol;SO;native;4;control;control;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
568;30/06/2022;2022;s1_22;wild;w1;I4;w1I4SOcontrol;SO;native;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
569;30/06/2022;2022;s1_22;wild;w1;I4;w1I4SOcontrol;SO;native;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
570;30/06/2022;2022;s1_22;wild;w1;I4;w1I4SOcontrol;SO;native;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
571;30/06/2022;2022;s1_22;wild;w1;I4;w1I4ROcontrol;RO;invasive;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
572;30/06/2022;2022;s1_22;wild;w1;I4;w1I4ROcontrol;RO;invasive;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
573;30/06/2022;2022;s1_22;wild;w1;I4;w1I4ROcontrol;RO;invasive;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
574;30/06/2022;2022;s1_22;wild;w1;I4;w1I4ROcontrol;RO;invasive;4;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
575;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
576;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
577;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
578;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
579;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
580;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
581;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
582;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
583;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
584;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
585;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
586;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
587;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
588;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
589;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOexclusion;SO;native;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
590;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;ger_root;germinated;viable;NA;NA;0,2;NA;
591;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
592;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
593;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;escaped;NA;NA;visible galleries
594;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;ger_root;germinated;viable;mold;NA;0,7;NA;the root lokes black
595;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
596;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
597;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
598;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
599;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
600;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;inside_alive;NA;NA;
601;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
602;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
603;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
604;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
605;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
606;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
607;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
608;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
609;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
610;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
611;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
612;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
613;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
614;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
615;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
616;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
617;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
618;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
619;30/06/2022;2022;s1_22;wild;w1;J15;w1J15SOcontrol;SO;native;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
620;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROcontrol;RO;invasive;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
621;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROcontrol;RO;invasive;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
622;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROcontrol;RO;invasive;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
623;30/06/2022;2022;s1_22;wild;w1;J15;w1J15ROcontrol;RO;invasive;15;control;control;ok;missing;missing;missing;NA;NA;NA;NA;am
